"activity" "subject" "measurement" "mean" "sd"
"LAYING" 25 "fBodyAccJerk-mean()-X" -0.563297812686567 0.0931667386837393
"LAYING" 25 "fBodyAccJerk-mean()-Y" -0.477200653134328 0.117050900139787
"LAYING" 25 "fBodyAccJerk-mean()-Z" -0.708871252238806 0.0590403299736787
"LAYING" 25 "fBodyAccJerk-std()-X" -0.579391492537313 0.100921707168313
"LAYING" 25 "fBodyAccJerk-std()-Y" -0.43525080158209 0.15004852654671
"LAYING" 25 "fBodyAccJerk-std()-Z" -0.750957549701493 0.0628111513261039
"LAYING" 25 "fBodyAccJerk-mad()-X" -0.503176184477612 0.112131981452967
"LAYING" 25 "fBodyAccJerk-mad()-Y" -0.464056773880597 0.133926862448541
"LAYING" 25 "fBodyAccJerk-mad()-Z" -0.72998958358209 0.0639835665325385
"LAYING" 25 "fBodyAccJerk-max()-X" -0.629748849104478 0.129814542917122
"LAYING" 25 "fBodyAccJerk-max()-Y" -0.530958736268657 0.149347447106513
"LAYING" 25 "fBodyAccJerk-max()-Z" -0.781517392835821 0.064364433586672
"LAYING" 25 "fBodyAccJerk-min()-X" -0.841544672238806 0.141979115049603
"LAYING" 25 "fBodyAccJerk-min()-Y" -0.787158197462687 0.197214466230579
"LAYING" 25 "fBodyAccJerk-min()-Z" -0.849562442985075 0.124101597841325
"LAYING" 25 "fBodyAccJerk-sma()" -0.512942572985075 0.0903986124702679
"LAYING" 25 "fBodyAccJerk-energy()-X" -0.892079633731343 0.0478948766747834
"LAYING" 25 "fBodyAccJerk-energy()-Y" -0.829876921940298 0.0772170291164167
"LAYING" 25 "fBodyAccJerk-energy()-Z" -0.958552065820895 0.0174677728757272
"LAYING" 25 "fBodyAccJerk-iqr()-X" -0.524830676119403 0.124223266259509
"LAYING" 25 "fBodyAccJerk-iqr()-Y" -0.622274126567164 0.0932459759944444
"LAYING" 25 "fBodyAccJerk-iqr()-Z" -0.742350767910448 0.0632656011634997
"LAYING" 25 "fBodyAccJerk-entropy()-X" 0.278541715552239 0.119549357140386
"LAYING" 25 "fBodyAccJerk-entropy()-Y" 0.298138984220896 0.133253034785952
"LAYING" 25 "fBodyAccJerk-entropy()-Z" 0.00985349877910448 0.1080336096556
"LAYING" 25 "fBodyAccJerk-maxInds-X" -0.825671641791045 0.159499443150895
"LAYING" 25 "fBodyAccJerk-maxInds-Y" -0.600597014925373 0.122299689003481
"LAYING" 25 "fBodyAccJerk-maxInds-Z" -0.542089552238806 0.21374395127669
"LAYING" 25 "fBodyAccJerk-meanFreq()-X" -0.358419952002985 0.160204293535623
"LAYING" 25 "fBodyAccJerk-meanFreq()-Y" -0.592881836119403 0.138852063752926
"LAYING" 25 "fBodyAccJerk-meanFreq()-Z" -0.465823000880597 0.20691334775068
"LAYING" 25 "fBodyAccJerk-skewness()-X" -0.168590986753731 0.297342711916477
"LAYING" 25 "fBodyAccJerk-kurtosis()-X" -0.567452311358209 0.322332763079063
"LAYING" 25 "fBodyAccJerk-skewness()-Y" -0.253625514353731 0.139908948591438
"LAYING" 25 "fBodyAccJerk-kurtosis()-Y" -0.747489972985075 0.121188418109364
"LAYING" 25 "fBodyAccJerk-skewness()-Z" -0.410085359925373 0.157905341584111
"LAYING" 25 "fBodyAccJerk-kurtosis()-Z" -0.795348498059702 0.107489135516195
"LAYING" 25 "fBodyAccJerk-bandsEnergy()-1" -0.853705368507463 0.0806321272493345
"LAYING" 25 "fBodyAccJerk-bandsEnergy()-9" -0.939057504626866 0.0311699579396977
"LAYING" 25 "fBodyAccJerk-bandsEnergy()-17" -0.925321520597015 0.0373458956609379
"LAYING" 25 "fBodyAccJerk-bandsEnergy()-25" -0.934539780597015 0.0470682162188334
"LAYING" 25 "fBodyAccJerk-bandsEnergy()-33" -0.93876443880597 0.0319332546714926
"LAYING" 25 "fBodyAccJerk-bandsEnergy()-41" -0.931495162238806 0.0455413539679922
"LAYING" 25 "fBodyAccJerk-bandsEnergy()-49" -0.962463644328358 0.0296483877298659
"LAYING" 25 "fBodyAccJerk-bandsEnergy()-57" -0.986169198955224 0.0177204212173938
"LAYING" 25 "fBodyGyro-mean()-X" -0.308711959208955 0.199869931917852
"LAYING" 25 "fBodyGyro-mean()-Y" -0.595633568656716 0.0529992941621762
"LAYING" 25 "fBodyGyro-mean()-Z" -0.489308655223881 0.0829165807456421
"LAYING" 25 "fBodyGyro-std()-X" -0.372271685656716 0.206527857671261
"LAYING" 25 "fBodyGyro-std()-Y" -0.377961868955224 0.122646182122811
"LAYING" 25 "fBodyGyro-std()-Z" -0.544200300298507 0.0539372572169958
"LAYING" 25 "fBodyGyro-mad()-X" -0.279387984507463 0.216668257657966
"LAYING" 25 "fBodyGyro-mad()-Y" -0.568685905970149 0.0566454785505686
"LAYING" 25 "fBodyGyro-mad()-Z" -0.449984780746269 0.0890623592767053
"LAYING" 25 "fBodyGyro-max()-X" -0.33885922578806 0.25468494931274
"LAYING" 25 "fBodyGyro-max()-Y" -0.363732550735821 0.178586389857872
"LAYING" 25 "fBodyGyro-max()-Z" -0.645635018059701 0.0732300203914077
"LAYING" 25 "fBodyGyro-min()-X" -0.857597977313433 0.144482323710727
"LAYING" 25 "fBodyGyro-min()-Y" -0.827124335074627 0.13194180023356
"LAYING" 25 "fBodyGyro-min()-Z" -0.892956012835821 0.102985665680096
"LAYING" 25 "fBodyGyro-sma()" -0.438941066119403 0.0920615763533815
